catid,xcat,lcat,mcat,scat
50000000,패션의류,,,
50000167,패션의류,여성의류,,
50000805,패션의류,여성의류,니트/스웨터,
50000806,패션의류,여성의류,카디건,
50000807,패션의류,여성의류,원피스,
50000803,패션의류,여성의류,티셔츠,
50000804,패션의류,여성의류,블라우스/셔츠,
50000814,패션의류,여성의류,점퍼,
50000815,패션의류,여성의류,재킷,
50000813,패션의류,여성의류,코트,
50000809,패션의류,여성의류,청바지,
50000808,패션의류,여성의류,스커트,
50000812,패션의류,여성의류,레깅스,
50000810,패션의류,여성의류,바지,
50000818,패션의류,여성의류,트레이닝복,
50000817,패션의류,여성의류,조끼,
50000816,패션의류,여성의류,정장세트,
50000819,패션의류,여성의류,한복,
50000821,패션의류,여성의류,유니폼/단체복,
50000820,패션의류,여성의류,파티복,
50000822,패션의류,여성의류,레인코트,
50000811,패션의류,여성의류,점프슈트,
50000778,패션의류,여성의류,코디세트,
50000168,패션의류,여성언더웨어/잠옷,,
50000823,패션의류,여성언더웨어/잠옷,브라,
50000824,패션의류,여성언더웨어/잠옷,팬티,
50000825,패션의류,여성언더웨어/잠옷,브라팬티세트,
50001452,패션의류,여성언더웨어/잠옷,보정속옷,
50003624,패션의류,여성언더웨어/잠옷,보정속옷,니퍼/복대
50003625,패션의류,여성언더웨어/잠옷,보정속옷,코르셋
50003626,패션의류,여성언더웨어/잠옷,보정속옷,올인원/바디쉐이퍼
50003627,패션의류,여성언더웨어/잠옷,보정속옷,거들
50003630,패션의류,여성언더웨어/잠옷,보정속옷,보정속옷세트
50003631,패션의류,여성언더웨어/잠옷,보정속옷,기타보정속옷
50000826,패션의류,여성언더웨어/잠옷,잠옷/홈웨어,
50000827,패션의류,여성언더웨어/잠옷,슬립,
50000828,패션의류,여성언더웨어/잠옷,러닝/캐미솔,
50000829,패션의류,여성언더웨어/잠옷,속치마/속바지,
50001453,패션의류,여성언더웨어/잠옷,시즌성내의,
50003632,패션의류,여성언더웨어/잠옷,시즌성내의,내복
50003634,패션의류,여성언더웨어/잠옷,시즌성내의,힙워머
50003635,패션의류,여성언더웨어/잠옷,시즌성내의,모시메리
50001454,패션의류,여성언더웨어/잠옷,언더웨어소품,
50003636,패션의류,여성언더웨어/잠옷,언더웨어소품,가터벨트
50003637,패션의류,여성언더웨어/잠옷,언더웨어소품,브라끈
50003638,패션의류,여성언더웨어/잠옷,언더웨어소품,브라패드
50003639,패션의류,여성언더웨어/잠옷,언더웨어소품,땀패드
50003816,패션의류,여성언더웨어/잠옷,언더웨어소품,기타언더웨어소품
50000169,패션의류,남성의류,,
50000831,패션의류,남성의류,니트/스웨터,
50000830,패션의류,남성의류,티셔츠,
50000833,패션의류,남성의류,셔츠/남방,
50000832,패션의류,남성의류,카디건,
50000837,패션의류,남성의류,점퍼,
50000838,패션의류,남성의류,재킷,
50000839,패션의류,남성의류,코트,
50000835,패션의류,남성의류,청바지,
50000836,패션의류,남성의류,바지,
50000834,패션의류,남성의류,조끼,
50000840,패션의류,남성의류,정장세트,
50000841,패션의류,남성의류,트레이닝복,
50000842,패션의류,남성의류,한복,
50000843,패션의류,남성의류,유니폼/단체복,
50000844,패션의류,남성의류,레인코트,
50006328,패션의류,남성의류,코디세트,
50000170,패션의류,남성언더웨어/잠옷,,
